(0,0) (66, 92, 93, 255)
(1,0) (66, 92, 93, 255)
(2,0) (66, 92, 93, 255)
(3,0) (66, 92, 93, 255)
(4,0) (66, 92, 93, 255)
(5,0) (66, 92, 93, 255)
(6,0) (66, 92, 93, 255)
(7,0) (66, 92, 93, 255)
(8,0) (66, 92, 93, 255)
(9,0) (66, 92, 93, 255)
(10,0) (66, 92, 93, 255)
(11,0) (66, 92, 93, 255)
(12,0) (66, 92, 93, 255)
(13,0) (66, 92, 93, 255)
(14,0) (66, 92, 93, 255)
(15,0) (66, 92, 93, 255)
(16,0) (66, 92, 93, 255)
(0,1) (66, 92, 93, 255)
(1,1) (66, 92, 93, 255)
(2,1) (66, 92, 93, 255)
(3,1) (66, 92, 93, 255)
(4,1) (66, 92, 93, 255)
(5,1) (66, 92, 93, 255)
(6,1) (66, 92, 93, 255)
(7,1) (66, 92, 93, 255)
(8,1) (66, 92, 93, 255)
(9,1) (66, 92, 93, 255)
(10,1) (66, 92, 93, 255)
(11,1) (66, 92, 93, 255)
(12,1) (66, 92, 93, 255)
(13,1) (66, 92, 93, 255)
(14,1) (66, 92, 93, 255)
(15,1) (66, 92, 93, 255)
(16,1) (66, 92, 93, 255)
(0,2) (66, 92, 93, 255)
(1,2) (66, 92, 93, 255)
(2,2) (66, 92, 93, 255)
(3,2) (66, 92, 93, 255)
(4,2) (66, 92, 93, 255)
(5,2) (66, 92, 93, 255)
(6,2) (66, 92, 93, 255)
(7,2) (66, 92, 93, 255)
(8,2) (66, 92, 93, 255)
(9,2) (66, 92, 93, 255)
(10,2) (66, 92, 93, 255)
(11,2) (66, 92, 93, 255)
(12,2) (66, 92, 93, 255)
(13,2) (66, 92, 93, 255)
(14,2) (66, 92, 93, 255)
(15,2) (66, 92, 93, 255)
(16,2) (66, 92, 93, 255)
(0,3) (66, 92, 93, 255)
(1,3) (66, 92, 93, 255)
(2,3) (66, 92, 93, 255)
(3,3) (66, 92, 93, 255)
(4,3) (66, 92, 93, 255)
(5,3) (66, 92, 93, 255)
(6,3) (66, 92, 93, 255)
(7,3) (66, 92, 93, 255)
(8,3) (66, 92, 93, 255)
(9,3) (66, 92, 93, 255)
(10,3) (66, 92, 93, 255)
(11,3) (66, 92, 93, 255)
(12,3) (66, 92, 93, 255)
(13,3) (66, 92, 93, 255)
(14,3) (66, 92, 93, 255)
(15,3) (66, 92, 93, 255)
(16,3) (66, 92, 93, 255)
(0,4) (66, 92, 93, 255)
(1,4) (66, 92, 93, 255)
(2,4) (66, 92, 93, 255)
(3,4) (66, 92, 93, 255)
(4,4) (66, 92, 93, 255)
(5,4) (66, 92, 93, 255)
(6,4) (66, 92, 93, 255)
(7,4) (66, 92, 93, 255)
(8,4) (66, 92, 93, 255)
(9,4) (66, 92, 93, 255)
(10,4) (66, 92, 93, 255)
(11,4) (66, 92, 93, 255)
(12,4) (66, 92, 93, 255)
(13,4) (66, 92, 93, 255)
(14,4) (66, 92, 93, 255)
(15,4) (66, 92, 93, 255)
(16,4) (66, 92, 93, 255)
(0,5) (66, 92, 93, 255)
(1,5) (66, 92, 93, 255)
(2,5) (66, 92, 93, 255)
(3,5) (66, 92, 93, 255)
(4,5) (66, 92, 93, 255)
(5,5) (66, 92, 93, 255)
(6,5) (66, 92, 93, 255)
(7,5) (66, 92, 93, 255)
(8,5) (66, 92, 93, 255)
(9,5) (66, 92, 93, 255)
(10,5) (66, 92, 93, 255)
(11,5) (66, 92, 93, 255)
(12,5) (66, 92, 93, 255)
(13,5) (66, 92, 93, 255)
(14,5) (66, 92, 93, 255)
